ETC_20150317_000001	Kepa
ETC_20150317_000002	Kepa - не очень сильный монстр. Однако непродуманная атака может заставить тебя плакать.
ETC_20150317_000003	Large Kepa
ETC_20150317_000004	Есть люди, которые иногда пробуют съесть Large Kepa. Не дай им этого сделать.
ETC_20150317_000005	Red Kepa
ETC_20150317_000006	Вопреки распространенному мнению, Red Kepa наиболее похожи на обычных Kepa.
ETC_20150317_000007	Poisoned Kepa
ETC_20150317_000008	Монстры
ETC_20150317_000009	Hamming
ETC_20150317_000010	Несмотря на его жесткую шкуру, Hamming - довольно слабый монстр.
ETC_20150317_000011	Chinency
ETC_20150317_000012	Chinency развились в их теперешний вид из стеблей растений.
ETC_20150317_000013	Mutant Chinency
ETC_20150317_000014	Jukopus
ETC_20150317_000015	Очень мало известно о строении Jukopus.
ETC_20150317_000016	Blue Jukopus
ETC_20150317_000017	Gray Jukopus
ETC_20150317_000018	В зависимости от возраста монстр может развивать разные боевые техники.
ETC_20150317_000019	Pokuborn
ETC_20150317_000020	Yellow Pokuborn
ETC_20150317_000021	Blue Pokuborn
ETC_20150317_000022	Есть много вещей, которые ты должен знать об этом монстре. Самое главное - не попадайся под его заряженную атаку.
ETC_20150317_000023	Green Pokuborn
ETC_20150317_000024	Даже после мутации их мясо остаётся съедобным.
ETC_20150317_000025	Blue Pokubu
ETC_20150317_000026	Banshee
ETC_20150317_000027	Души тех, кто отважился спуститься в подземный мир, теперь возвратились в виде демонов.
ETC_20150317_000028	Red Banshee
ETC_20150317_000029	Evil Spirit
ETC_20150317_000030	Не признававшая Богиню душа переродилась под контролем демонов.
ETC_20150317_000031	Large Banshee
ETC_20150317_000032	Beehive
ETC_20150317_000033	Blue Beehive
ETC_20150317_000034	Grey Beehive
ETC_20150317_000035	Red Beehive
ETC_20150317_000036	Bushspider
ETC_20150317_000037	Этот монстр здорово вырос, ползая в лесных тенях.
ETC_20150317_000038	Black Bushspider
ETC_20150317_000039	Red Bushspider
ETC_20150317_000040	White Bushspider
ETC_20150317_000041	Yellow Bushspider
ETC_20150317_000042	Disgusting Dionia
ETC_20150317_000043	Dionia Poza
ETC_20150317_000044	Blue Fragaras
ETC_20150317_000045	Этот монстр вырос в размерах, но не сильно изменился. В прошлом он был мертвым и зараженным растением.
ETC_20150317_000046	Black Fragaras
ETC_20150317_000047	Red Fragaras
ETC_20150317_000048	Vubbe Fighter
ETC_20150317_000049	Blue Vubbe Fighter
ETC_20150317_000050	Red Vubbe Fighter
ETC_20150317_000051	Неизвестно, приобрели ли Vubbe Fighters способность к бою, или были такими изначально.
ETC_20150317_000052	Golem
ETC_20150317_000053	Gray Golem
ETC_20150317_000054	Meduja
ETC_20150317_000055	Некоторые люди говорят, что Meduja может использоваться для связи с душами мертвых.
ETC_20150317_000056	Blue Meduja
ETC_20150317_000057	Green Meduja
ETC_20150317_000058	Red Meduja
ETC_20150317_000059	Исследователи утверждают, что у растений есть души. Meduja - это мутировавшая такая душа.
ETC_20150317_000060	Meduja Larva
ETC_20150317_000061	Ellaganos
ETC_20150317_000062	Bite
ETC_20150317_000063	Говорят, что лучше быть пораженным стрелой, чем укушенным Bite.
ETC_20150317_000064	Puragi
ETC_20150317_000065	Тайна за семью печатями: Демоны вывели Puragis, чтобы атаковать солдат Ruklys во время гражданской войны.
ETC_20150317_000066	Blue Puragi
ETC_20150317_000067	Blue Puragis любит убивать и мародерствовать.
ETC_20150317_000068	Green Puragi
ETC_20150317_000069	Никто и никогда не видел лицо, спрятанное за этой маской.
ETC_20150317_000070	Red Puragi
ETC_20150317_000071	Large Puragi
ETC_20150317_000072	Zigri
ETC_20150317_000073	Brown Zigri
ETC_20150317_000074	Эти демоны-приспешники наслаждаются бойней.
ETC_20150317_000075	Black Zigri
ETC_20150317_000076	Этих демонов-приспешников можно найти по всему миру.
ETC_20150317_000077	Red Zigri
ETC_20150317_000078	Fisherman
ETC_20150317_000079	Fishermen классифицируется как монстр, потому что использует удочки для контроля над существами.
ETC_20150317_000080	Blue Fisherman
ETC_20150317_000081	Green Fisherman
ETC_20150317_000082	Red Fisherman
ETC_20150317_000083	Действия этого Fisherman всегда необъяснимы.
ETC_20150317_000084	Gribaru
ETC_20150317_000085	Эти ствологоловые могут использоваться для разных целей, например, для освобождения от attractants и поиска скрытых объектов.
ETC_20150317_000086	Big Gribaru
ETC_20150317_000087	Thorn Forest Griba
ETC_20150317_000088	Matsum
