SKILL_20150317_000001	Атака
SKILL_20150317_000002	[Elite Kepa] 1 time, Физический, Poison Property, Strike
SKILL_20150317_000003	[Rafflesia] Spread Poison
SKILL_20150317_000004	[Rafflesia] Poison Bomb
SKILL_20150317_000005	[Raffly] Физический, Strike, Poison Property, Attack 1 time
SKILL_20150317_000006	[Raffly] Физический, Strike, Poison Property, Jump Attack 1 time
SKILL_20150317_000007	[Puragi] Физический, Strike, Poison Property, Normal Attack 1 time
SKILL_20150317_000008	[Puragi] Физический, Strike, Poison Property, Attack 1 time
SKILL_20150317_000009	[Puragi] Физический, Strike, Poison Property, Stomp 1 time
SKILL_20150317_000010	[Zigri] Normal Attack, Conical AoE
SKILL_20150317_000011	[Zigri] Spinning Strike
SKILL_20150317_000012	[Zigri] Jump и Stomping Shock
SKILL_20150317_000013	[Fisherman] Физический, Strike, Ice Property, Strike with Fishing Rod
SKILL_20150317_000014	[Fisherman] Magic, Buff, Magic, Buff Skill
SKILL_20150317_000015	[Green Pokuborn] Физический, Pierce, Lightning Property, Horn Attack 1 time
SKILL_20150317_000016	[Bushspider] Физический, Strike, Earth Property, Attack 1 time
SKILL_20150317_000017	[Fragaras] Quick bite
SKILL_20150317_000018	[Fragaras] Large Chomp
SKILL_20150317_000019	[Fragaras] Normal Attack, Conical AoE
SKILL_20150317_000020	Basic Normal Атака
SKILL_20150317_000021	[Meduja] Magic, Magic, Lightning Property Attack 1 time
SKILL_20150317_000022	[Gribaru] Физический, Slash, Lightning Property Attack 1 time
SKILL_20150317_000023	[Gribaru] Физический, Slash, Lightning Property Knock-back Attack Attack 1 time
SKILL_20150317_000024	[Bite] Физический, Pierce, Poison Property Attack 1 time,
SKILL_20150317_000025	[Banshee] Magic, Magic, Ice Property, Breath Attack 1 time
SKILL_20150317_000026	[Banshee] Magic, Magic, Ice Property, Ice Pike
SKILL_20150317_000027	[Mini Griba] Физический, Strike, Lightning Property, Two-handed Strike 1 time
SKILL_20150317_000028	[Big Griba] Физический, Strike, Lightning Property, Smash 1 time
SKILL_20150317_000029	[Big Griba] Физический, Strike, Lightning Property,Spread poison 1 time
SKILL_20150317_000030	[Big Griba] Физический, Strike, Lightning Property,Ground Smash 1 time
SKILL_20150317_000031	[Haming] Физический, Strike, Lightning Property, Head Strike
SKILL_20150317_000032	[Haming] Физический, Strike, Lightning Property, Counter Skill
SKILL_20150317_000033	[Haming] Физический, Strike, Lightning Property, Jump и rotating attack
SKILL_20150317_000034	[Truffle] Физический, Strike, Lightning Property, Body Slam
SKILL_20150317_000035	[Truffle] Физический, Strike, Lightning Property, Smash
SKILL_20150317_000036	[Truffle] Физический, Strike, Lightning Property, Body Slam
SKILL_20150317_000037	[Slime_Dark] Физический, Strike, Dark Property, Headbutt
SKILL_20150317_000038	[Slime_Dark] Физический, Strike, Dark Property, Attack 1 time
SKILL_20150317_000039	[Kepa] Физический, Strike, Poison Property, Conical AoE
SKILL_20150317_000040	[Addicted Kepa] Normal Attack, Conical AoE
SKILL_20150317_000041	[Old Kepa] Физический, Strike, Earth Property, Fume Smoke
SKILL_20150317_000042	[Thornball] Физический, Pierce, Poison Property, Conical AoE
SKILL_20150317_000043	[Matsum] Физический, Strike, Урон Свойством Огня, Conical AoE
SKILL_20150317_000044	[Sakmoli] Magic, Strike, Ice Property. Normal Attack 1 time
SKILL_20150317_000045	[Sakmoli] Magic, Strike, Ice Property, Normal Attack 1 time
SKILL_20150317_000046	[Jukopus] Физический, Strike, Earth Property, Body Slam
SKILL_20150317_000047	[Jukopus] Физический, Strike, Earth Property, Jump и Body Slam
SKILL_20150317_000048	[Red Bushspider] Jump и Smash
SKILL_20150317_000049	[Red Bushspider] Normal Attack, Conical AoE
SKILL_20150317_000050	[Baby Dionia] Normal Attack, Conical AoE
SKILL_20150317_000051	[Mini Griba] Физический, Strike, Poison Property, One Punch
SKILL_20150317_000052	[Mini Griba] Физический, Strike, Poison Property, One-two Punch
SKILL_20150317_000053	[Mini Griba] Физический, Strike, Poison Property, Two-handed Strike
SKILL_20150317_000054	[Griba] Физический, Strike, Ice Property Attack 1 time
SKILL_20150317_000055	[Griba] Magic, Magic, Ice Property Attack 1 time
SKILL_20150317_000056	[Old Kepa] Normal Attack, Conical AoE
SKILL_20150317_000057	[Tree Ghost] One-handed Strike
SKILL_20150317_000058	[Tree Ghost] Two-handed clap
SKILL_20150317_000059	[Tree Ghost] Stomp ground
SKILL_20150317_000060	[Cockatrice] Magic, Magic, Урон Свойством Огня, Fume Fire 3 times
SKILL_20150317_000061	[Zinute] Физический Pierce Урон Свойством Огня Attack 1 time
SKILL_20150317_000062	[Zinute] Физический Slash Урон Свойством Огня Attack 1 time
SKILL_20150317_000063	[Tontulia] Физический Strike Lightning Property Attack 1 time
SKILL_20150317_000064	[Tontulia] Физический Strike Lightning Property Attack 2 times
SKILL_20150317_000065	[Tontus] Физический Strike, Poison Property Attack 2 times
SKILL_20150317_000066	[Tontus] Физический Pierce, Poison Property Attack 1 time
SKILL_20150317_000067	[Tontus] Физический Strike, Poison Property Attack 1 time
SKILL_20150317_000068	[Vekarabe] Физический, Pierce, Poison Property, Forward Pierce Attack
SKILL_20150317_000069	[Vekarabe] Физический, Pierce, Poison Property, Forward Upper Pierce Attack
SKILL_20150317_000070	[Geppetto] Физический Strike, Earth Property Attack 2 times
SKILL_20150317_000071	[Geppetto] Физический Strike, Earth Property Attack 1 time
SKILL_20150317_000072	[Geppetto] Физический Strike, Earth Property Attack 1 time
SKILL_20150317_000073	[Boowook] Физический, Strike, Earth Property Attack 1 time
SKILL_20150317_000074	[Boowook] Физический, Strike, Earth Property Feet Stomp Attack 1 time,
SKILL_20150317_000075	[Кровососы] Физический, Pierce, Dark Property Tail Blow
SKILL_20150317_000076	[Кровососы] Физический, Pierce, Dark Property Body Blow
SKILL_20150317_000077	[Pino] Физический Blow, Earth Property Attack 1 time
SKILL_20150317_000078	[Cauliflower] Физический, Pierce, Poison Property, Smash with tentacle
SKILL_20150317_000079	[Cauliflower] Физический, Pierce, Poison Property, Gouge with tentacle
SKILL_20150317_000080	[Cauliflower] Физический, Pierce, Poison Property, Ground Smash
SKILL_20150317_000081	[Helmet Bug] Физический, Pierce, Earth Property, Attack 1 time
SKILL_20150317_000082	[Helmet Bug] Normal Attack2
SKILL_20150317_000083	[Bikaaras Mage] Magic, Magic, Урон Свойством Огня, Attack 1 time
SKILL_20150317_000084	[Bikaaras Mage] Физический, Slash, Урон Свойством Огня, Attack 1 time
SKILL_20150317_000085	[Vikaras] Физический, Slash, Урон Свойством Огня, Attack 1 time
SKILL_20150317_000086	[Vikaras] Физический, Slash, Урон Свойством Огня, Ground Smash 1 time
SKILL_20150317_000087	[Mutant Chinency] Normal Attack, Forward Missile
SKILL_20150317_000088	[Zinute] One-handed Blow
SKILL_20150317_000089	[Zinute] Two-handed clap
SKILL_20150317_000090	[Zinute] Ground Smash
SKILL_20150317_000091	[Lauzinute] Физический, Pierce, Урон Свойством Огня Attack 1 time
SKILL_20150317_000092	[Lauzinute] Физический, Pierce, Урон Свойством Огня Rotating Attack
SKILL_20150317_000093	[Dandel] Физический Pierce Lightning Property Attack 1 time
